WaferID,DMT_X_mm,DMT_Y_mm,DMT_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,DMT_File,TFK_File
AANBD067TEA4,0.0,126.0,8599.432,0.0067,127.428,8590.959961,1.4280157177006112,8.472039000000223,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,0.0,-135.0,8596.149,0.0067,-134.7529999,8591.349609,0.24709095369926845,4.79939099999865,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-96.0,96.0,8593.494,-96.51,96.51,8584.0,0.7212489168102857,9.494000000000597,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,96.0,-96.0,8601.415,96.51,-96.51,8593.599609,0.7212489168102857,7.815391000000091,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,135.0,18.0,8597.159,136.2,19.3019,8590.44043,1.7705771968485227,6.71856999999909,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,72.0,126.0,8605.934,71.2039,127.428,8604.459961,1.6349187166339447,1.474038999998811,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,141.0,-36.0,8607.465,142.401,-36.4348,8614.450195,1.466919234313884,-6.985194999999294,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-135.0,-57.0,8625.814,-136.2,-57.9062,8651.889648,1.503728180224062,-26.075648,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-135.0,57.0,8620.157,-136.2,57.9062,8652.700195,1.503728180224062,-32.543195000000196,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-57.0,-135.0,8632.329,-57.9062,-136.2,8666.040039,1.503728180224062,-33.7110389999998,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,-57.0,135.0,8627.545,-57.9062,136.2,8657.639648,1.503728180224062,-30.094648000000234,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD067TEA4,57.0,-135.0,8635.98,57.9062,-136.2,8673.290039,1.503728180224062,-37.31003899999996,2026-04-02T17.39.33.0171905-J427T7V0-8374-DMT101-TTG625-DMTDUMMY.xml,2026-04-02T17.20.12.1373151-J427T7V0-8374-TFK658-TTG625-MFG7152C19DTFK.xml
AANBD228TEH1,0.0,0.0,8622.196,0.0067,-3.6622,8605.730469,3.6622061288245367,16.465530999999828,2026-03-26T10.25.24.6087352-LCTW01516-8374-DMT115-TTB134-DMTDUMMY.xml,2026-03-26T09.22.48.2544075-LCTW01516-8374-TFK658-TTB134-MFG7152C19DTFK.xml
AANBD228TEH1,18.0,18.0,8608.975,19.3019,19.3019,8591.849609,1.8411646368535322,17.12539099999958,2026-03-26T10.25.24.6087352-LCTW01516-8374-DMT115-TTB134-DMTDUMMY.xml,2026-03-26T09.22.48.2544075-LCTW01516-8374-TFK658-TTB134-MFG7152C19DTFK.xml
AANBD228TEH1,18.0,-21.0,8604.619,19.3019,-19.3019,8591.730469,2.1397399888771536,12.888531000000512,2026-03-26T10.25.24.6087352-LCTW01516-8374-DMT115-TTB134-DMTDUMMY.xml,2026-03-26T09.22.48.2544075-LCTW01516-8374-TFK658-TTB134-MFG7152C19DTFK.xml
AANBD228TEH1,-48.0,-36.0,8599.347,-47.4578,-36.4348,8586.75,0.6950049496226653,12.596999999999753,2026-03-26T10.25.24.6087352-LCTW01516-8374-DMT115-TTB134-DMTDUMMY.xml,2026-03-26T09.22.48.2544075-LCTW01516-8374-TFK658-TTB134-MFG7152C19DTFK.xml
