X_mm,Y_mm,Mean_Delta,Abs_Delta,Std_Delta,Count
72.375,127.464,8.93,8.93,0.492,4.0
55.737,56.952,14.33,14.33,0.693,4.0
-16.361,-56.952,13.026,13.026,0.726,4.0
16.915,94.92,13.981,13.981,0.836,4.0
94.559,62.376,12.087,12.087,0.866,4.0
94.559,-94.92,13.069,13.069,0.88,4.0
0.277,127.464,15.224,15.224,0.922,4.0
16.915,-94.92,14.924,14.924,0.989,4.0
72.375,-67.8,11.877,11.877,0.997,4.0
-71.821,62.376,14.464,14.464,1.087,4.0
