X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
-132.827,56.952,-52.35,52.35,4.0,1.692
-55.183,132.888,-51.525,51.525,4.0,0.811
-132.827,-56.952,-49.24,49.24,4.0,0.995
-55.183,-132.888,-45.45,45.45,4.0,0.483
55.737,-132.888,-38.608,38.608,4.0,0.508
138.927,-35.256,1.226,1.226,4.0,1.369
72.375,127.464,8.93,8.93,4.0,6.762
72.375,-67.8,11.877,11.877,4.0,3.647
94.559,62.376,12.087,12.087,4.0,4.14
72.375,-2.712,12.149,12.149,4.0,2.363
