X_mm,Y_mm,Mean_Delta,Abs_Delta,Count,Reliability
72.375,127.464,8.93,8.93,4.0,6.762
55.737,56.952,14.33,14.33,4.0,5.043
-16.361,-56.952,13.026,13.026,4.0,4.843
16.915,94.92,13.981,13.981,4.0,4.274
94.559,62.376,12.087,12.087,4.0,4.14
94.559,-94.92,13.069,13.069,4.0,4.082
0.277,127.464,15.224,15.224,4.0,3.915
16.915,-94.92,14.924,14.924,4.0,3.673
72.375,-67.8,11.877,11.877,4.0,3.647
-71.821,62.376,14.464,14.464,4.0,3.371
