WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANBD055TEC2,0.0,31.0,31.0,0.0,8623.86,8618.92,0.0,22.04,25.58
AANBD067TEA4,0.0,31.0,31.0,0.0,8624.17,8620.27,0.0,23.59,27.33
AANBD078TEB7,0.0,31.0,31.0,0.0,8616.48,8610.95,0.0,19.51,22.53
AANBD103TEH2,0.0,31.0,31.0,0.0,8617.05,8611.19,0.0,22.72,25.07
AANBD203TEG3,31.0,31.0,31.0,8579.65,8586.99,8577.69,26.72,25.73,30.53
AANBD205TEA1,31.0,31.0,31.0,8579.16,8586.76,8577.67,24.63,22.69,29.17
AANBD225TEB6,31.0,31.0,31.0,8574.94,8582.49,8572.12,23.6,23.0,27.56
AANBD228TEH1,31.0,31.0,31.0,8571.61,8579.3,8568.64,22.71,22.61,26.62
