WaferID,BTM_Count,DMT_Count,TFK_Count,BTM_Mean_Thickness,DMT_Mean_Thickness,TFK_Mean_Thickness,BTM_Std_Thickness,DMT_Std_Thickness,TFK_Std_Thickness
AANBD055TEC2,0.0,31.0,31.0,0.0,8625.47,8618.92,0.0,23.96,25.58
AANBD067TEA4,0.0,31.0,31.0,0.0,8625.78,8620.27,0.0,25.52,27.33
AANBD078TEB7,0.0,31.0,31.0,0.0,8618.09,8610.95,0.0,21.15,22.53
AANBD103TEH2,0.0,31.0,31.0,0.0,8618.66,8611.19,0.0,24.12,25.07
AANBD203TEG3,31.0,31.0,31.0,8579.65,8588.6,8577.69,26.72,27.78,30.53
AANBD205TEA1,31.0,31.0,31.0,8579.16,8588.37,8577.67,24.63,25.03,29.17
AANBD225TEB6,31.0,31.0,31.0,8574.94,8584.1,8572.12,23.6,25.09,27.56
AANBD228TEH1,31.0,31.0,31.0,8571.61,8580.91,8568.64,22.71,24.84,26.62
